,age,gender,state,country_residence,X5k,half,pace,final_time
1,24,M,,KEN,925,3875,297,7777
2,30,M,OR,USA,924,3875,298,7798
3,25,M,,JPN,925,3876,299,7828
4,32,M,CA,USA,925,3885,303,7928
5,31,M,,KEN,925,3875,304,7955
6,40,M,AZ,USA,925,3875,304,7965
7,33,M,CO,USA,925,3876,305,7996
8,28,M,,ETH,924,3964,308,8066
9,27,M,OR,USA,924,3893,309,8085
10,28,M,UT,USA,925,3893,311,8128
11,32,M,MA,USA,925,3941,311,8134
12,32,M,,ETH,924,3876,314,8207
13,41,M,CA,USA,924,3897,314,8220
14,34,M,,ZIM,926,4022,316,8260
15,34,M,,KEN,924,3875,317,8294
16,32,M,AZ,USA,983,4163,317,8300
17,41,M,NY,USA,924,3937,318,8312
18,32,M,,KEN,924,3875,320,8373
19,29,M,NC,USA,940,4022,321,8412
20,29,M,MA,USA,970,4131,322,8418
21,37,F,,KEN,1066,4353,325,8512
22,42,M,,MEX,925,3928,326,8540
23,30,M,MA,USA,998,4215,327,8552
24,27,F,,BRN,1065,4353,327,8571
25,25,F,OR,USA,1065,4353,328,8580
26,31,M,MA,USA,988,4208,328,8585
27,36,M,MI,USA,991,4180,328,8592
28,28,M,MA,USA,997,4230,329,8606
29,28,M,TN,USA,980,4201,330,8631
30,39,M,CA,USA,997,4262,331,8667
31,25,M,MI,USA,1030,4398,332,8680
32,29,M,MA,USA,997,4215,332,8689
33,37,M,MI,USA,964,4154,332,8702
34,33,F,MI,USA,1065,4353,333,8706
35,36,M,TX,USA,1021,4290,333,8706
36,45,M,,BRA,1017,4298,333,8715
37,26,M,CO,USA,1046,4398,334,8735
38,40,M,MN,USA,998,4269,335,8760
39,27,M,MA,USA,1030,4376,336,8800
40,35,M,AZ,USA,1027,4398,336,8809
41,34,M,AB,CAN,978,4290,337,8812
42,32,M,UT,USA,950,4170,337,8818
43,19,M,,JPN,998,4262,337,8831
44,33,F,,KEN,1065,4353,338,8840
45,43,M,VA,USA,997,4297,338,8855
46,31,M,IN,USA,1046,4412,338,8860
47,30,M,DC,USA,1042,4381,339,8865
48,24,M,MA,USA,970,4130,340,8898
49,32,M,OR,USA,1044,4408,340,8908
50,37,M,TX,USA,1010,4397,341,8919
51,25,M,MD,USA,1022,4331,341,8923
52,35,M,OR,USA,1034,4403,341,8924
53,26,M,UT,USA,1043,4409,341,8925
54,24,F,,KEN,1065,4353,343,8975
55,27,M,NH,USA,1042,4422,343,8982
56,23,M,,JPN,1007,4297,344,8994
57,48,M,,ITA,928,4253,344,9011
58,37,M,MA,USA,1023,4392,344,9019
59,41,M,,NED,1024,4425,345,9025
60,28,M,NY,USA,958,4126,345,9031
61,29,M,CA,USA,1061,4481,345,9034
62,41,M,CO,USA,998,4311,345,9041
63,29,F,,ETH,1065,4428,346,9058
64,28,M,CT,USA,961,4072,346,9064
65,21,M,NH,USA,1041,4485,346,9070
66,27,M,MA,USA,1022,4390,347,9073
67,31,M,CA,USA,1025,4384,347,9079
68,22,M,IA,USA,1043,4406,347,9097
69,41,M,,IRL,1063,4491,347,9097
70,23,F,,KEN,1065,4353,348,9108
71,33,M,ON,CAN,990,4255,348,9117
72,36,M,CO,USA,1083,4584,348,9121
73,30,M,VA,USA,1025,4308,349,9126
74,30,M,QC,CAN,1077,4594,349,9134
75,32,F,,BDI,1066,4371,349,9144
76,29,M,,MEX,1047,4456,349,9144
77,25,M,AL,USA,1062,4489,349,9145
78,23,M,NY,USA,980,4267,350,9164
79,40,M,ID,USA,1027,4376,350,9166
80,32,M,MA,USA,1036,4461,350,9171
81,31,M,PA,USA,1062,4508,351,9183
82,25,M,IL,USA,1099,4592,351,9183
83,25,M,MA,USA,1097,4600,351,9192
84,20,M,CO,USA,1050,4467,351,9201
85,23,F,,ETH,1065,4355,352,9206
86,32,M,MA,USA,1021,4418,352,9207
87,36,M,,GBR,1028,4466,352,9225
88,28,M,CO,USA,1085,4556,353,9235
89,30,M,CO,USA,1072,4547,353,9236
90,30,M,MA,USA,1037,4412,353,9241
91,32,M,AK,USA,1019,4382,353,9249
92,31,M,CA,USA,1032,4430,354,9262
93,30,M,ON,CAN,999,4262,354,9270
94,45,M,FL,USA,1062,4508,354,9280
95,26,F,IL,USA,1066,4501,355,9284
96,26,M,IL,USA,1083,4641,355,9287
97,39,M,KS,USA,1076,4574,355,9289
98,30,F,MI,USA,1122,4720,355,9293
99,25,M,PA,USA,1067,4531,355,9303
100,33,M,CA,USA,1024,4390,356,9315
101,36,M,AB,CAN,1079,4643,356,9326
102,26,M,AK,USA,1109,4650,357,9340
103,39,M,MA,USA,1062,4518,357,9341
104,36,M,FL,USA,1094,4645,357,9344
105,24,M,AK,USA,1109,4650,357,9349
106,22,M,,JPN,952,4140,357,9351
107,40,M,,GER,1000,4423,357,9358
108,26,M,MN,USA,1100,4652,358,9361
109,30,M,IL,USA,1065,4541,358,9367
110,30,F,SC,USA,1084,4658,358,9371
111,28,M,WI,USA,1098,4602,358,9372
112,23,M,OR,USA,1034,4410,358,9378
113,30,M,,GER,1077,4617,358,9385
114,27,M,PA,USA,1063,4510,359,9388
115,40,F,MI,USA,1085,4616,359,9388
116,25,M,MO,USA,1021,4388,359,9389
117,25,M,OH,USA,1102,4650,359,9389
118,32,F,CA,USA,1093,4681,359,9390
119,32,M,MA,USA,1063,4519,359,9393
120,39,F,NJ,USA,1114,4689,359,9393
121,27,M,OK,USA,1032,4424,359,9396
122,36,M,FL,USA,1100,4662,359,9400
123,25,M,IL,USA,1061,4489,359,9401
124,40,M,CO,USA,1094,4685,359,9407
125,32,M,TX,USA,1048,4463,359,9408
126,36,M,TX,USA,1020,4299,360,9417
127,35,M,CA,USA,1032,4495,360,9417
128,35,M,MA,USA,1108,4692,360,9420
129,44,M,NY,USA,1093,4659,360,9421
130,33,M,CO,USA,1134,4705,360,9431
131,19,M,CO,USA,1037,4491,360,9435
132,26,M,MO,USA,991,4230,361,9442
133,45,M,UT,USA,999,4337,361,9448
134,33,F,OR,USA,1119,4753,361,9450
135,31,M,CA,USA,1042,4631,361,9452
136,28,M,NY,USA,1142,4742,361,9454
137,21,M,CA,USA,1123,4722,362,9467
138,25,M,MA,USA,950,4119,362,9469
139,21,M,VA,USA,1126,4712,362,9471
140,29,M,TN,USA,1124,4703,362,9471
141,28,M,TN,USA,1118,4698,362,9472
142,35,M,VA,USA,1103,4693,362,9482
143,34,M,MD,USA,1036,4485,362,9485
144,45,M,WA,USA,1000,4442,362,9486
145,25,M,GA,USA,1137,4791,363,9495
146,23,M,WI,USA,1111,4732,363,9495
147,28,M,UT,USA,1104,4641,363,9498
148,29,F,MA,USA,1084,4611,363,9501
149,36,M,VA,USA,1098,4645,363,9504
150,30,M,CA,USA,1163,4781,363,9506
151,30,M,AK,USA,1084,4554,363,9510
152,29,M,OH,USA,1047,4602,363,9511
153,27,M,CO,USA,1144,4789,363,9513
154,41,M,AK,USA,1199,4801,363,9516
155,27,M,QC,CAN,1076,4648,363,9517
156,26,M,ON,CAN,1016,4376,363,9517
157,46,M,,ITA,1047,4568,364,9520
158,28,F,MA,USA,1083,4635,364,9524
159,33,M,,ESP,1078,4655,364,9524
160,29,F,AL,USA,1114,4693,364,9528
161,42,M,NY,USA,1074,4645,364,9528
162,26,M,NC,USA,1070,4575,364,9531
163,27,M,MA,USA,1140,4704,364,9533
164,21,M,CA,USA,1092,4592,364,9537
165,27,M,IL,USA,1140,4734,364,9539
166,36,M,CA,USA,1048,4541,364,9539
167,43,M,,BRA,1039,4598,364,9542
168,36,M,WA,USA,1099,4634,365,9553
169,35,M,,GBR,1069,4535,365,9553
170,36,M,MA,USA,1082,4637,365,9556
171,35,M,MD,USA,1074,4606,365,9559
172,29,M,MN,USA,1049,4482,365,9563
173,30,M,TN,USA,1172,4822,365,9569
174,28,M,NY,USA,1049,4503,366,9570
175,25,M,MA,USA,1080,4591,366,9572
176,33,M,CO,USA,1148,4704,366,9572
177,25,M,TN,USA,1118,4698,366,9573
178,28,M,,SUI,1116,4717,366,9576
179,23,M,MA,USA,1150,4845,366,9578
180,42,M,,GBR,998,4337,366,9579
181,28,M,MA,USA,1058,4535,366,9580
182,29,M,CO,USA,1096,4673,366,9588
183,29,M,MA,USA,1110,4677,366,9594
184,37,M,MD,USA,1067,4596,366,9595
185,35,M,NC,USA,1109,4764,367,9597
186,27,M,OH,USA,1129,4660,367,9597
187,40,F,WA,USA,1068,4650,367,9602
188,29,M,FL,USA,1087,4559,367,9603
189,35,M,QC,CAN,1013,4474,367,9604
190,30,F,,ETH,1065,4479,367,9607
191,29,M,MA,USA,1066,4588,367,9617
192,27,M,KY,USA,1177,4827,367,9618
193,38,M,QC,CAN,1080,4647,367,9619
194,25,M,WA,USA,1062,4768,368,9623
195,40,M,NY,USA,1114,4731,368,9632
196,31,M,KS,USA,1161,4839,368,9633
197,37,M,MI,USA,1101,4754,368,9636
198,39,M,NH,USA,1087,4662,368,9637
199,42,M,NJ,USA,1108,4719,368,9639
200,28,M,MA,USA,1071,4565,368,9643
201,26,M,MI,USA,1069,4627,368,9644
202,38,M,,GBR,1101,4656,368,9645
203,19,M,MA,USA,1108,4701,368,9645
204,38,M,,COL,1080,4661,368,9646
205,32,M,TX,USA,1044,4459,368,9648
206,24,M,MA,USA,1129,4712,369,9654
207,37,M,NC,USA,1041,4560,369,9658
208,35,M,CO,USA,1094,4635,369,9663
209,36,M,,NOR,1105,4769,369,9663
210,34,M,PE,CAN,1111,4724,369,9675
211,30,F,ON,CAN,1085,4616,370,9682
212,28,M,PA,USA,1125,4750,370,9686
213,34,M,IL,USA,1121,4773,370,9690
214,33,M,,POL,1120,4794,370,9691
215,33,M,TN,USA,1105,4627,370,9695
216,23,M,IL,USA,1169,4774,370,9697
217,40,M,,GBR,1077,4718,370,9699
218,26,M,MO,USA,1138,4798,370,9701
